timestamp,elapsed_s,ws_mb,private_mb,cpu_pct,handles,threads,gpu_pct,gpu_ded_mb,gpu_shared_mb
13:42:11,9.2,750.1,717.1,0.4,3051,108,118.2,602,576.5
13:42:21,18.8,1124.4,1096.6,0.4,3050,107,127.1,816,780.8
13:42:30,27.8,1275.5,1255.2,0.5,3050,107,119.3,830.1,782.8
13:42:39,36.9,985.6,957.5,0.3,3044,106,117.8,830.6,794.8
13:42:48,46,984.5,957.2,0.5,3044,106,130.5,830.6,794.8
13:42:57,55,1144.4,1122.9,0.5,3044,106,117,830.6,768.8
13:43:06,64.1,985,957.6,0.4,3041,103,128.2,830.6,794.8
13:43:15,73.1,985.2,958,0.4,3041,102,129.3,830.6,768.8
13:43:24,82.2,1140.1,1117.3,0.4,3041,102,114.1,830.6,768.8
13:43:33,91.3,1272.1,1261.6,0.5,3041,102,128.8,830.6,794.8
13:43:42,100.3,984.2,956.8,0.3,3041,102,120.4,831.2,768.8
13:43:52,109.4,983.4,956.6,0.4,3041,102,0,831.2,768.8
13:44:01,118.4,8.6,956.6,0,3041,102,0,831.2,768.8
13:44:10,127.4,9.7,956.6,0,3039,101,0,831.2,768.8
13:44:19,136.5,71,956.1,0.1,3033,98,122.8,831.2,768.8
13:44:28,145.5,29.7,1094.7,0.6,3033,99,121.1,829.5,794.8
13:44:37,154.6,95.6,955.7,0.4,3033,99,114.7,830.6,782.8
13:44:46,163.6,469.5,957.3,0.6,3033,99,123.2,830.6,782.8
13:44:55,172.7,625,1115.2,0.6,3033,99,121.7,829.5,794.8
13:45:04,181.8,768.6,1257,0.6,3033,97,122.5,830.1,768.8
