timestamp,elapsed_s,ws_mb,private_mb,cpu_pct,handles,threads,gpu_pct,gpu_ded_mb,gpu_shared_mb
13:45:25,9.1,332.5,308.3,0.2,3052,108,26.7,176.8,220.9
13:45:35,18.7,412.9,414.8,0.2,3050,107,25.5,231.6,176.1
13:45:44,27.8,417.3,426.3,0.2,3050,107,27.5,231.6,180.1
13:45:53,36.8,366.7,371,0.2,3046,106,27.3,231.1,188.1
13:46:02,45.9,371,371.1,0.2,3046,106,26.4,231.1,242.3
13:46:11,54.9,421.6,422.6,0.1,3046,106,26.1,231.6,184.1
13:46:20,64,420.7,426.4,0.2,3043,103,26.2,231.1,184.1
13:46:29,73.1,370.2,371,0.2,3043,102,25.3,231.1,184.1
13:46:38,82.1,369.4,370,0.2,3043,102,26.4,231.1,184.1
13:46:47,91.1,28.4,291.3,0.2,1458,18,0,0,0
13:46:54,98.2,28.4,93.7,0,1458,18,0,0,0
13:47:01,105.2,28.4,95.5,0,1458,18,0,0,0
13:47:08,112.2,28.4,95.5,0,1458,18,0,0,0
13:47:15,119.2,28.4,95.5,0,1458,18,0,100.7,131
13:47:23,126.2,258.6,352.2,0.2,3020,97,30.6,176.8,131
13:47:32,135.3,298.2,413.3,0.2,3017,95,30.1,231.6,168.1
13:47:41,144.4,288.2,409.2,0.2,3017,95,28,231.6,164.1
13:47:50,153.4,247.7,362.8,0.2,3012,94,27.6,231.7,168.1
13:47:59,162.5,251.6,370.2,0.1,3012,94,28.2,231.7,168.1
13:48:08,171.5,302.3,421.9,0.2,3012,94,27.9,232.7,168.1
13:48:17,180.6,299.9,423,0.2,3012,92,27.3,231.7,168.1
13:48:26,189.6,252.2,369.7,0.2,3012,92,28.1,231.7,168.1
