timestamp,elapsed_s,ws_mb,private_mb,cpu_pct,handles,threads,gpu_pct,gpu_ded_mb,gpu_shared_mb
13:01:42,9.2,654.6,618.7,0.2,3051,108,75.2,508.3,835.6
13:01:51,18.7,1039.3,999.1,0.3,3049,107,86.8,693.2,669.5
13:02:00,27.8,1155.4,1116.4,0.3,3049,107,74.3,693.7,669.5
13:02:09,36.8,852.2,812.2,0.2,3043,106,72.9,693.7,669.5
13:02:18,45.9,852.3,812.7,0.2,3043,106,75.3,693.7,669.5
13:02:28,54.9,1046.9,1007.9,0.2,3043,106,73.9,693.7,669.5
13:02:37,64,1161.4,1122.3,0.3,3040,103,73.3,693.2,657.5
13:02:46,73.1,697.7,658.8,0.2,3040,102,73.4,693.2,669.5
13:02:55,82.1,852.3,812.1,0.3,3040,102,73.1,870.5,657.5
13:03:04,91.2,1046.5,1007,0.3,3040,102,71.6,693.2,657.5
13:03:13,100.3,1158.8,1119.9,0.3,3040,102,71.6,693.7,657.5
13:03:22,109.3,951,936,0.2,3073,102,71.7,693.2,657.5
13:03:31,118.4,824.8,810,0.2,3040,102,72.5,870.5,669.5
13:03:40,127.5,1017.9,1004.6,0.2,3038,101,74,693.8,669.5
13:03:49,136.5,1133.3,1119.1,0.2,3032,98,70.1,693.2,643.5
13:03:58,145.6,952,935.1,0.2,3065,99,75.9,693.2,657.5
13:04:07,154.6,825.2,810.3,0.3,3032,99,71.5,848.1,643.5
13:04:16,163.7,840.7,826,0.2,3032,99,72.4,693.2,643.5
13:04:25,172.7,1020.7,1006.4,0.2,3032,99,71.3,693.2,657.5
13:04:34,181.8,1090.5,1076.5,0.3,3032,97,71.6,693.2,643.5
