timestamp,elapsed_s,ws_mb,private_mb,cpu_pct,handles,threads,gpu_pct,gpu_ded_mb,gpu_shared_mb
12:52:05,9.2,271.8,244.8,0.2,3052,108,16.9,103.5,81.1
12:52:15,18.8,296,292.4,0.2,3049,107,17.1,126.6,81.1
12:52:24,27.8,294.9,299.7,0.2,3049,107,16.4,126.6,81.1
12:52:33,36.9,272.8,275.7,0.2,3045,106,16.9,127.3,82.1
12:52:42,45.9,273.9,276.8,0.2,3045,106,17.1,127.3,82.1
12:52:51,55,296.4,299.9,0.2,3045,106,16.8,127.9,82.1
12:53:00,64,295.4,300.9,0.2,3042,103,17.1,127.9,82.1
12:53:09,73.1,273.2,277,0.2,3042,102,16.8,127.4,82.1
12:53:18,82.1,272.7,275.5,0.2,3042,102,17.3,143.2,82.1
12:53:27,91.2,302.5,304.5,0.2,3042,102,16.5,127.4,82.1
12:53:36,100.2,295.6,298.9,0.2,3042,102,17,126.3,82.1
12:53:45,109.3,273.3,275.9,0.2,3075,102,17.1,127.9,82.1
12:53:54,118.3,272,275.6,0.2,3042,102,17,143.2,82.1
12:54:04,127.4,295.7,299.6,0.2,3040,101,16.6,127.9,82.1
12:54:13,136.4,303,305.7,0.2,3036,99,16.6,126.9,82.1
12:54:22,145.5,287.2,290.3,0.2,3069,99,17.1,127.4,82.1
12:54:31,154.5,268.1,274.6,0.2,3036,99,16.6,143.2,82.1
12:54:40,163.6,254.6,275.8,0.2,3036,99,16.9,127.9,82.1
12:54:49,172.6,257.9,298.9,0.2,3036,99,16.6,127.9,82.1
12:54:58,181.7,248.9,294.2,0.2,3070,97,16.6,126.3,82.1
