timestamp,elapsed_s,ws_mb,private_mb,cpu_pct,handles,threads,gpu_pct,gpu_ded_mb,gpu_shared_mb
16:34:03,9.1,29,86.6,0,1268,21,0,0,0
16:34:10,16.7,29.1,79.1,0,1268,21,0,0,0
16:34:17,23.7,29.2,79.1,0,1268,21,0,0,0
16:34:24,30.7,29.3,79.1,0,1269,21,0,0,0
16:34:31,37.8,29.2,78.1,0,1224,12,0,0,0
16:34:38,44.8,29.2,78.1,0,1224,12,0,0,0
16:34:45,51.8,29.2,78.1,0,1224,12,0,0,0
16:34:52,58.9,29.2,78.1,0,1224,12,0,0,0
16:34:59,65.9,2.9,77,0,1217,8,0,0,0
16:35:06,73,4.8,75.6,0,1215,7,0,0,0
16:35:13,80,8.5,75.7,0,1219,7,0,0,0
16:35:20,87,8.5,75.5,0,1219,7,0,0,0
16:35:27,94.1,28.9,85.6,0.1,1239,11,0,0,0
16:35:35,101.1,29,77.5,0,1239,11,0,0,0
16:35:42,108.1,29,77.5,0,1239,11,0,0,0
16:35:49,115.1,29,77.5,0,1239,11,0,0,0
16:35:56,122.2,28.9,75.3,0,1234,10,0,0,0
16:36:03,129.2,28.9,75.8,0,1219,7,0,0,0
16:36:10,136.2,31.8,75.4,0,1225,7,0,0,0
16:36:17,143.3,34.8,77.4,0,1230,8,0,0,0
16:36:24,150.3,35,77.4,0,1230,8,0,0,0
16:36:31,157.3,35.6,77.4,0,1230,8,0,0,0
