timestamp,elapsed_s,ws_mb,private_mb,cpu_pct,handles,threads,gpu_pct,gpu_mem_mb
03:47:07,9.2,452.9,447.9,0.6,3084,113,28.2,175.7
03:47:15,18.1,431.9,391.3,0.5,3084,113,20.6,176.2
03:47:24,26.1,448,409.9,0.6,3086,113,23.4,172.8
03:47:32,34.1,425.8,402.8,0.5,3089,113,22.8,176.2
03:47:40,42.2,447.4,424.2,0.6,3051,105,25.6,172.8
03:47:48,50.2,412.8,370,0.5,3052,105,21.9,172.2
03:47:56,58.3,434.9,411.3,0.5,3054,105,23.4,229.2
03:48:04,66.3,432.3,390.7,0.5,3052,102,28,176.2
03:48:12,74.4,439.9,416,0.5,3052,101,23.5,172.2
03:48:20,82.4,409.5,364.2,0.5,3053,101,23.7,172.2
03:48:28,90.5,452.3,415.1,0.6,3055,101,25.4,228.7
03:48:36,98.6,404.2,364.5,0.4,3056,102,28.2,172.2
03:48:44,106.6,431,408,0.4,3058,102,23.3,230
03:48:52,114.7,435.3,448.4,0.4,3059,102,25.5,172.8
03:49:00,122.7,385.5,409.1,0.6,3061,102,24.7,228.7
03:49:08,130.8,378.8,406.5,0.4,3062,101,25.6,172.2
03:49:16,138.8,353.2,409.5,0.6,3064,101,26.6,228.7
03:49:24,146.9,401.7,428.6,0.6,3065,101,26.5,176.8
03:49:32,154.9,376.9,414.9,0.5,3067,101,23.3,230.5
