timestamp,elapsed_s,ws_mb,private_mb,cpu_pct,handles,threads,gpu_pct,gpu_mem_mb
03:55:32,9.4,332.6,308.3,0.3,3093,112,26.4,230.3
03:55:40,18.3,2,361.7,0.1,3090,111,0,230.3
03:55:48,26.3,10.7,361.7,0,3090,111,0,230.3
03:55:57,34.4,10.4,361.6,0.1,3087,110,0,230.3
03:56:05,42.4,10.9,361,0.1,3047,102,0,230.3
03:56:13,50.5,11.1,361,0,3047,102,0,230.3
03:56:21,58.5,171.1,418.1,0.1,3064,106,0,230
03:56:29,66.5,26.7,360.7,0.2,3061,103,25.6,230
03:56:37,74.6,160.3,421.7,0.3,3062,103,24.1,229.5
03:56:45,82.7,163.1,420.4,0.3,3063,103,23.5,229.5
03:56:53,90.7,113,365.8,0.4,3048,100,18,230
03:57:01,98.8,119.1,368.3,0.3,3051,101,23.8,230
03:57:09,106.8,164.1,418,0.4,3052,101,22.8,230.5
03:57:17,114.9,164.3,422.9,0.4,3053,101,24.4,231.1
