timestamp,elapsed_s,ws_mb,private_mb,cpu_pct,handles,threads,gpu_pct,gpu_ded_mb,gpu_shared_mb
16:01:05,9.2,385.2,350.8,0.2,3052,108,26.6,177.8,159
16:01:15,18.7,291.2,275.7,0.1,2316,56,0,44.4,40.2
16:01:24,27.8,193.5,143,0,2316,56,0,44.4,40.2
16:01:33,36.9,193.5,143,0,2317,56,0,44.4,40.2
16:01:42,45.9,193.6,143,0,2312,55,0,44.4,40.2
16:01:51,55,194.6,144,0,2312,55,0,44.4,40.2
16:02:00,64,192.8,141.6,0,2309,52,0,44.4,40.2
16:02:09,73.1,192.4,141.2,0,2309,51,0,44.4,40.2
16:02:18,82.1,191.7,140.4,0,2309,51,0.1,44.4,40.2
16:02:27,91.2,191.3,140.1,0,2309,51,0,44.4,40.2
