timestamp,elapsed_s,ws_mb,private_mb,cpu_pct,handles,threads,gpu_pct,gpu_ded_mb,gpu_shared_mb
14:44:40,9.2,422.3,410.7,1.1,2318,57,14.2,173.8,40.2
14:44:50,18.9,458.1,457.8,1.2,2315,56,21,52.4,42.4
14:44:59,28,543.1,541,1.2,2315,56,17.9,48.4,139
14:45:08,37,522.3,528.8,1.2,2913,107,15.8,175.4,40.2
14:45:17,46.1,513.4,514.5,1.1,2951,88,20.2,81.8,40.2
14:45:26,55.2,491.6,474.6,1.1,2316,56,21.2,52.4,131
14:45:35,64.2,520,515.8,1.2,3045,104,15,176,40.2
14:45:44,73.3,503.8,499.2,1.1,2313,52,20,52.4,42.4
14:45:53,82.3,506.6,497.7,1.1,2313,52,18.9,52.4,131
14:46:02,91.4,533.7,542,1.1,3045,103,15.3,175.9,40.2
